,Date,Indian rupee (INR),GDP,Inflation
102,1987-07-31,190.9169202588953,3.965355634817186,9.32789330598244
103,1987-08-31,188.73999320873352,3.965355634817186,9.32789330598244
104,1987-09-30,191.43551180104728,3.965355634817186,9.32789330598244
105,1987-10-30,195.4283130174052,3.965355634817186,9.32789330598244
106,1987-11-30,200.3126544361112,3.965355634817186,9.32789330598244
107,1987-12-31,196.66129414831207,3.965355634817186,9.32789330598244
108,1988-01-29,194.72196111529243,9.627782916078443,8.23251536870477
109,1988-02-29,176.891478575797,9.627782916078443,8.23251536870477
110,1988-03-31,198.4038646123317,9.627782916078443,8.23251536870477
111,1988-04-29,189.71094575510608,9.627782916078443,8.23251536870477
112,1988-05-31,196.73395483555717,9.627782916078443,8.23251536870477
113,1988-06-30,197.51264591744933,9.627782916078443,8.23251536870477
114,1988-07-29,202.25230897659648,9.627782916078443,8.23251536870477
115,1988-08-31,196.7847530151356,9.627782916078443,8.23251536870477
116,1988-09-30,185.6300514931501,9.627782916078443,8.23251536870477
117,1988-10-31,202.4272090379298,9.627782916078443,8.23251536870477
118,1988-11-30,201.15886208579744,9.627782916078443,8.23251536870477
119,1988-12-30,196.8635223442288,9.627782916078443,8.23251536870477
120,1989-01-31,191.9479947013512,5.947343331813244,8.43680886909797
121,1989-02-28,189.18624557110607,5.947343331813244,8.43680886909797
122,1989-03-31,191.0660997229737,5.947343331813244,8.43680886909797
123,1989-04-28,190.425335343861,5.947343331813244,8.43680886909797
124,1989-05-31,188.704627387508,5.947343331813244,8.43680886909797
125,1989-06-30,197.49753506656208,5.947343331813244,8.43680886909797
126,1989-07-31,193.26649681813063,5.947343331813244,8.43680886909797
127,1989-08-31,191.69882641544436,5.947343331813244,8.43680886909797
128,1989-09-29,196.63075093907185,5.947343331813244,8.43680886909797
129,1989-10-31,202.86188713153769,5.947343331813244,8.43680886909797
130,1989-11-30,221.2562937658468,5.947343331813244,8.43680886909797
131,1989-12-29,212.99226586784667,5.947343331813244,8.43680886909797
132,1990-01-31,226.37437111210667,5.533454561253009,10.6683038500875
133,1990-02-28,223.68689020643504,5.533454561253009,10.6683038500875
134,1990-03-30,203.65568906431707,5.533454561253009,10.6683038500875
135,1990-04-30,205.09829306285144,5.533454561253009,10.6683038500875
136,1990-05-31,202.4040605004004,5.533454561253009,10.6683038500875
137,1990-06-29,197.4229453345229,5.533454561253009,10.6683038500875
138,1990-07-31,207.6038007429446,5.533454561253009,10.6683038500875
139,1990-08-31,218.10519909465555,5.533454561253009,10.6683038500875
140,1990-09-28,235.76496116987155,5.533454561253009,10.6683038500875
141,1990-10-31,221.68036211308697,5.533454561253009,10.6683038500875
142,1990-11-30,225.0426871892341,5.533454561253009,10.6683038500875
143,1990-12-31,223.41103680087625,5.533454561253009,10.6683038500875
144,1991-01-31,218.9652315653664,1.0568314333698794,13.7518189426722
145,1991-02-28,222.38735703013117,1.0568314333698794,13.7518189426722
146,1991-03-29,223.1978773511262,1.0568314333698794,13.7518189426722
147,1991-04-30,232.3402636453813,1.0568314333698794,13.7518189426722
